Character Name;Show Title;Representation Type;Justification for Classification;LGBTQ Community Impact;Portrayal;Authentic Characterization;Affirmation of Identity;Normalization of Relationship;Dynamic Role;Static Role;Stereotypical Characterization;Gay Best Friend;Tragic Trope;Tokenism;Character Transformation;Plot Resolution;Lens Orientation
Jules Vaughn;Euphoria;Fair Representation;Multi-dimensional transgender character portrayed authentically with emotional depth.;Positive role model for transgender youth, promoting understanding.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Overcomes struggles and finds self-acceptance.;Open-ended (personal growth);Ideological Challenge
Eric Effiong;Sex Education;Fair Representation;Gay, Black character portrayed with depth, navigating relationships and family dynamics.;Broadens intersectional representation, showing complexity.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Grows from self-doubt to confidence.;Happy ending;Ideological Challenge
Blaine Anderson;Glee;Fair Representation;Central gay character with a detailed portrayal of relationships and identity struggles.;Helped normalize LGBTQ+ relationships in mainstream media.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Learns resilience, finds love.;Happy ending;Ideological Challenge
Kevin Keller;Riverdale;Unfair Representation;"Portrayed in the ""gay best friend"" trope with minimal character development.";Reinforces clichés, adding little to LGBTQ+ visibility.;Superficial;No;No;No;No;Yes;Yes;Yes;No;Yes;Static and stereotypical.;Unresolved;Profit and Mass Appeal
Emily Fields;Pretty Little Liars;Fair Representation;Lesbian character with nuanced relationships and complex storylines.;Normalizes LGBTQ+ relationships, empowering LGBTQ+ women.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains confidence in identity.;Happy ending;Ideological Challenge
Adam Groff;Sex Education;Fair Representation;Subtle exploration of internalized homophobia and self-acceptance.;Highlights importance of addressing repression.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Grows from repression to acceptance.;Open-ended (self-growth);Ideological Challenge
Lexa;The 100;Unfair Representation;"Lesbian character killed off shortly after a meaningful relationship, reinforcing the ""bury your gays"" trope.";Sparked backlash for perpetuating harmful LGBTQ+ tropes.;Superficial;No;Yes;No;No;Yes;No;No;Yes;No;Dies before meaningful growth.;Death;Profit and Mass Appeal
Connor Walsh;How to Get Away with Murder;Fair Representation;Gay character with complex relationships and moral struggles.;Tackles issues of societal bias and personal redemption.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Develops self-awareness and integrity.;Open-ended (growth);Ideological Challenge
Sophia Burset;Orange Is the New Black;Fair Representation;Transgender character navigating systemic discrimination in prison.;Illuminates systemic challenges for trans individuals, fostering empathy.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Confronts systemic oppression.;Open-ended (resilience);Ideological Challenge
Max Chapman;Black Mirror: San Junipero;Fair Representation;Bisexual character with an empowering love story and a rare happy ending.;Breaks stereotypes by showing LGBTQ+ love in a positive light.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds love and peace.;Happy ending;Ideological Challenge
Lito Rodriguez;Sense8;Fair Representation;Gay character portrayed with depth, exploring his career struggles, relationship, and coming out.;Highlights LGBTQ+ challenges in global contexts.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Moves from secrecy to pride.;Happy ending;Ideological Challenge
Tara Maclay;Buffy the Vampire Slayer;Unfair Representation;"Lesbian character killed suddenly, reinforcing the ""bury your gays"" trope.";Controversial portrayal, perpetuating harmful LGBTQ+ tropes.;Superficial;No;Yes;Yes;No;Yes;No;No;Yes;No;Dies abruptly.;Death;Profit and Mass Appeal
Nomi Marks;Sense8;Fair Representation;Transgender hacker portrayed with depth, exploring her relationships and challenges.;One of the first trans characters portrayed positively in mainstream sci-fi.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains confidence and security.;Happy ending;Ideological Challenge
Omar Shanaa;Elite;Fair Representation;Gay Muslim character navigating societal and cultural pressures while pursuing a meaningful relationship.;Highlights intersectionality, addressing sexuality in cultural contexts.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds balance between love and identity.;Happy ending;Ideological Challenge
David Rose;Schitt’s Creek;Fair Representation;Pansexual character portrayed with humor and depth, showing evolving relationships.;Celebrates LGBTQ+ lives through humor and acceptance.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds love and fulfillment.;Happy ending;Ideological Challenge
Casey Gardner;Atypical;Fair Representation;Explores the struggles and triumphs of a bisexual teenager navigating her identity and relationships.;Positively portrays bisexuality, showcasing complexity.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains confidence in her relationships.;Open-ended (growth);Ideological Challenge
Kat Edison;The Bold Type;Fair Representation;Bisexual character with an empowering storyline and meaningful exploration of her sexual identity.;Promotes bisexual visibility and challenges workplace discrimination.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Overcomes fears and takes control of her life.;Open-ended (career growth);Ideological Challenge
Santana Lopez;Glee;Fair Representation;Lesbian character who evolves from repression and denial to pride and self-acceptance.;Normalized LGBTQ+ relationships in mainstream teen TV.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds peace with her identity and love.;Happy ending;Ideological Challenge
Victor Salazar;Love, Victor;Fair Representation;Gay Latinx teenager navigating coming out and family acceptance in a conservative environment.;Highlights intersectionality and the nuances of coming out in traditional families.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Overcomes internalized fear and bias.;Happy ending;Ideological Challenge
Khaled;Young Royals;Fair Representation;Gay Muslim student portrayed with depth and resilience, navigating challenges of love and identity in a royal school setting.;Promotes diverse LGBTQ+ representation and addresses religious and cultural challenges.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Balances love and cultural identity.;Open-ended (growth);Ideological Challenge
Ray Holt;Brooklyn Nine-Nine;Fair Representation;Gay Black police captain portrayed with dignity, humor, and depth.;Subverts stereotypes and challenges workplace biases.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Provides mentorship and breaks barriers.;Happy ending;Ideological Challenge
Syd;One Day at a Time;Fair Representation;Non-binary character portrayed authentically with respect and humor in a multi-generational family dynamic.;Increases visibility for non-binary individuals and promotes acceptance.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains family acceptance and self-confidence.;Happy ending;Ideological Challenge
Mickey Dobbs;Love;Unfair Representation;Queer character whose storyline remains ambiguous and underdeveloped, falling into tokenism.;Lacks meaningful engagement with LGBTQ+ themes.;Superficial;No;No;No;No;Yes;No;No;No;Yes;Static and minimally impactful.;Unresolved;Profit and Mass Appeal
Omar Ayuso;Elite;Fair Representation;Gay Muslim character whose relationships are portrayed with depth, showcasing struggles against societal and family expectations.;Challenges stereotypes of LGBTQ+ individuals in conservative communities.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Balances tradition and modern love.;Happy ending;Ideological Challenge
Denise;Master of None;Fair Representation;Lesbian Black woman exploring love, career, and friendships, portrayed with emotional complexity and humor.;Challenges heteronormative narratives and broadens representation.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Grows into confidence and love.;Happy ending;Ideological Challenge
