Character Name;Show Title;Representation Type;Justification for Classification;LGBTQ Community Impact;Portrayal;Authentic Characterization;Affirmation of Identity;Normalization of Relationship;Dynamic Role;Static Role;Stereotypical Characterization;Gay Best Friend;Tragic Trope;Tokenism;Character Transformation;Plot Resolution;Lens Orientation;Gender of the character;Sex Orientation of character;Performer;Gender of performer;Year;Creator;Gender of director;Production company;Place of publication;Genre of the tv-series
Jules Vaughn;Euphoria;Fair Representation;Multi-dimensional transgender character portrayed authentically with emotional depth.;Positive role model for transgender youth, promoting understanding.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Overcomes struggles and finds self-acceptance.;Open-ended (personal growth);Ideological Challenge;Transgender Female;Bisexual;Hunter Schafer;Female;2019;Sam Levinson;Male;HBO;USA;Drama
Eric Effiong;Sex Education;Fair Representation;Gay, Black character portrayed with depth, navigating relationships and family dynamics.;Broadens intersectional representation, showing complexity.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Grows from self-doubt to confidence.;Happy ending;Ideological Challenge;Male;Gay;Ncuti Gatwa;Male;2019;Laurie Nunn;Female;Netflix;UK;Comedy-Drama
Blaine Anderson;Glee;Fair Representation;Central gay character with a detailed portrayal of relationships and identity struggles.;Helped normalize LGBTQ+ relationships in mainstream media.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Learns resilience, finds love.;Happy ending;Ideological Challenge;Male;Gay;Darren Criss;Male;2009;Ryan Murphy;Male;Fox;USA;Musical, Comedy-Drama
Kevin Keller;Riverdale;Unfair Representation;"Portrayed in the ""gay best friend"" trope with minimal character development.";Reinforces clichés, adding little to LGBTQ+ visibility.;Superficial;No;No;No;No;Yes;Yes;Yes;No;Yes;Static and stereotypical.;Unresolved;Profit and Mass Appeal;Male;Gay;Casey Cott;Male;2017;Roberto Aguirre-Sacasa;Male;The CW;USA;Drama, Mystery
Emily Fields;Pretty Little Liars;Fair Representation;Lesbian character with nuanced relationships and complex storylines.;Normalizes LGBTQ+ relationships, empowering LGBTQ+ women.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains confidence in identity.;Happy ending;Ideological Challenge;Female;Lesbian;Shay Mitchell;Female;2010;Ina Marlene King;Female;Freeform;USA;Drama, Mystery
Adam Groff;Sex Education;Fair Representation;Subtle exploration of internalized homophobia and self-acceptance.;Highlights importance of addressing repression.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Grows from repression to acceptance.;Open-ended (self-growth);Ideological Challenge;Male;Questioning;Connor Swindells;Male;2019;Laurie Nunn;Female;Netflix;UK;Comedy-Drama
Lexa;The 100;Unfair Representation;"Lesbian character killed off shortly after a meaningful relationship, reinforcing the ""bury your gays"" trope.";Sparked backlash for perpetuating harmful LGBTQ+ tropes.;Superficial;No;Yes;No;No;Yes;No;No;Yes;No;Dies before meaningful growth.;Death;Profit and Mass Appeal;Female;Lesbian;Alycia Debnam-Carey;Female;2014;Jason Rothenberg;Male;The CW;USA;Science Fiction, Drama
Connor Walsh;How to Get Away with Murder;Fair Representation;Gay character with complex relationships and moral struggles.;Tackles issues of societal bias and personal redemption.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Develops self-awareness and integrity.;Open-ended (growth);Ideological Challenge;Male;Gay;Jack Falahee;Male;2014;Peter Nowalk;Male;ABC;USA;Legal Drama, Thriller
Sophia Burset;Orange Is the New Black;Fair Representation;Transgender character navigating systemic discrimination in prison.;Illuminates systemic challenges for trans individuals, fostering empathy.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Confronts systemic oppression.;Open-ended (resilience);Ideological Challenge;Female;Transgender;Laverne Cox;Female;2013;Jenji Leslie Kohan;Female;Netflix;USA;Comedy-Drama
Kelly;Black Mirror: San Junipero;Fair Representation;Bisexual character with an empowering love story and a rare happy ending.;Breaks stereotypes by showing LGBTQ+ love in a positive light.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Finds love and peace.;Happy ending;Ideological Challenge;Female;Bisexual;Gugu Mbatha-Raw;Female;2016;Owen Harris;Male;Netflix;USA;Science Fiction, Drama
Lito Rodriguez;Sense8;Fair Representation;Gay character portrayed with depth, exploring his career struggles, relationship, and coming out.;Highlights LGBTQ+ challenges in global contexts.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Moves from secrecy to pride.;Happy ending;Ideological Challenge;Male;Gay;Miguel Ángel Silvestre;Male;2015;Lana e Lilly Wachowski;Transgender women;Netflix;USA;Science Fiction, Drama
Tara Maclay;Buffy the Vampire Slayer;Unfair Representation;"Lesbian character killed suddenly, reinforcing the ""bury your gays"" trope.";Controversial portrayal, perpetuating harmful LGBTQ+ tropes.;Superficial;No;Yes;Yes;No;Yes;No;No;Yes;No;Dies abruptly.;Death;Profit and Mass Appeal;Female;Lesbian;Amber Benson;Female;1999;Joss Whedon;Male;The WB;USA;Supernatural, Drama
Nomi Marks;Sense8;Fair Representation;Transgender hacker portrayed with depth, exploring her relationships and challenges.;One of the first trans characters portrayed positively in mainstream sci-fi.;Detailed;Yes;Yes;Yes;Yes;No;No;No;No;No;Gains confidence and security.;Happy ending;Ideological Challenge;Female;Transgender;Jamie Clayton;Female;2015;Lana e Lilly Wachowski;Transgender women;Netflix;USA;Science Fiction, Drama
